char,pinyin,division,code
一,yi1,一,Gu
一,yi2,一,Gu
一,yi4,一,Gu
丁,ding1,丁,Ed
丂,qiao3,丂,Ek
七,qi1,七,Fq
丄,shang4,丄,Ou
丅,xia4,丅,Ju
丆,,丆,Gu
万,mo4,丆𠃌,GBu
万,wan4,丆𠃌,GBu
丈,zhang4,𠂇乀,HWu
三,san1,三,Is
上,shang3,上,Ls
上,shang4,上,Ls
下,xia4,丅丶,JWu
丌,ji1,丌,Hj
丌,qi2,丌,Hj
不,bu2,不,Gb
不,bu4,不,Gb
与,yu3,丂一,EGuk
丏,mian3,丅𠃊𠃌,JCBu
丐,gai4,丅一㇉,JGCu
丑,chou3,コ十,DEu
丒,chou3,刀丶一,DWGd
专,zhuan1,二㇉丶,ECWe
且,qie3,且,Nq
丕,pi1,不一,GGub
世,shi4,世,Hs
丗,shi4,卅一,HGu
丘,qiu1,亻工,TIg
丙,bing3,一冂人,GMUu
业,qiu1,〢䒑,LXu
业,ye4,〢䒑,LXu
丛,cong2,人人一,UUGu
东,dong1,七小,FCxq
丝,si1,{纟上}纟,CCj
丞,cheng2,乛水一,BAGu
丟,diu1,王厶,EAi
丠,qiu1,丬匕一,XVGu
両,liang3,一冂山,GMMv
丢,diu1,壬厶,RAir
丣,you3,丌匚コ,HFDj
两,liang3,一冂人人,GMUU
严,yan2,丌䒑⼃,HXPj
並,bing4,䒑〢䒑,XLXu
丧,sang4,十丷{畏下},EXFu
丨,gun3,丨,Ku
丨,shu4,丨,Ku
丩,jiu1,丩,Au
个,gan4,𠆢丨,UKu
个,ge4,𠆢丨,UKu
丫,ya1,丷丨,XKu
丬,qiang2,丬,Xu
中,zhong1,口丨,OKu
中,zhong4,口丨,OKu
丮,ji3,⺄キ,BFui
丯,jie4,彡丨,SKus
丰,feng1,丰,If
丱,guan4,丱,Au
丱,kuang4,丱,Au
串,chuan4,口口丨,OOKu
丳,chan3,口口{介下},OOTu
临,lin2,〢{⺮右}𫩏,LPKu
丵,zhuo2,〢䒑䒑十,LXXE
丶,dian3,丶,Wu
丶,zhu3,丶,Wu
丷,ba1,丷,Xu
丸,wan2,九丶,RWuj
丹,dan1,⺆亠,SYu
为,wei4,⺀力,ZCl
主,zhu3,丶王,WEv
丼,jing3,廾亠,HYu
丽,li4,一冂⺀冂,GMZM
举,ju3,⺍一八キ,ZGTF
丿,pie3,丿,Pu
乀,fu2,乀,Wu
乀,pie3,乀,Wu
乁,ji2,乁,Bu
乁,yi2,乁,Bu
乂,yi4,乂,Ti
乃,nai3,乃,An
乄,wu3,⼅⼂,BWu
久,jiu3,⺈丶,QWu
乆,jiu3,𠄌人,CUu
乇,tuo1,㇒七,PFq
乇,zhe2,㇒七,PFq
么,ma5,㇒厶,PAi
么,me5,㇒厶,PAi
么,mo2,㇒厶,PAi
么,yao1,㇒厶,PAi
义,cha1,丶乂,WTi
义,yi4,丶乂,WTi
乊,,㇒丷,PXu
之,zhi1,之,Zz
乌,wu1,乌,Sw
乍,zha4,𠂉{乍下},PLu
乎,hu1,⼃丷{于下},PXIu
