一	〔一・Gu〕
丁	〔丁・Ed〕
七	〔七・Fq〕
万	〔丆𠃌・GBu〕
丈	〔𠂇乀・HWu〕
三	〔三・Is〕
上	〔上・Ls〕
下	〔丅丶・JWu〕
丌	〔丌・Hj〕
不	〔不・Gb〕
与	〔丂一・EGuk〕
丐	〔丅一㇉・JGCu〕
丑	〔コ十・DEu〕
专	〔二㇉丶・ECWe〕
且	〔且・Nq〕
丕	〔不一・GGub〕
世	〔世・Hs〕
丘	〔亻工・TIg〕
丙	〔一冂人・GMUu〕
业	〔〢䒑・LXu〕
丛	〔人人一・UUGu〕
东	〔七小・FCxq〕
丝	〔{纟上}纟・CCj〕
丞	〔乛水一・BAGu〕
丢	〔壬厶・RAir〕
两	〔一冂人人・GMUU〕
严	〔丌䒑⼃・HXPj〕
丧	〔十丷{畏下}・EXFu〕
丨	〔丨・Ku〕
个	〔𠆢丨・UKu〕
丫	〔丷丨・XKu〕
丬	〔丬・Xu〕
中	〔口丨・OKu〕
丰	〔丰・If〕
串	〔口口丨・OOKu〕
临	〔〢{⺮右}𫩏・LPKu〕
丶	〔丶・Wu〕
丸	〔九丶・RWuj〕
丹	〔⺆亠・SYu〕
为	〔⺀力・ZCl〕
主	〔丶王・WEv〕
丽	〔一冂⺀冂・GMZM〕
举	〔⺍一八キ・ZGTF〕
丿	〔丿・Pu〕
乃	〔乃・An〕
久	〔⺈丶・QWu〕
乇	〔㇒七・PFq〕
么	〔㇒厶・PAi〕
义	〔丶乂・WTi〕
之	〔之・Zz〕
乌	〔乌・Sw〕
乍	〔𠂉{乍下}・PLu〕
乎	〔⼃丷{于下}・PXIu〕
乏	〔㇒之・PZz〕
乐	〔{乐上}小・VCx〕
乒	〔亻工㇒・TIPu〕
乓	〔亻工丶・TIWu〕
乔	〔夭{介下}・RTuy〕
乖	〔千丬匕・RXVq〕
乘	〔禾丬匕・RXVi〕
乙	〔乙・Bi〕
乜	〔乜・Bu〕
九	〔九・Rj〕
乞	〔𠂉乙・PBi〕
也	〔也・Be〕
习	〔习・Ci〕
乡	〔{纟上}⼃・CPu〕
书	〔𠃍𠃌丨丶・BBKW〕
乩	〔⺊口乚・LOCu〕
买	〔乛⺀大・BZFd〕
乱	〔千口乚・ROCq〕
乳	〔爫子乚・VBCu〕
乾	〔十早𠂉乙・EKPB〕
了	〔了・Bl〕
予	〔予・By〕
争	〔⺈⺕亅・QBBu〕
事	〔{于下}口彐・IOBu〕
二	〔二・Ee〕
亍	〔一丁・GEd〕
于	〔一{于下}・GIu〕
亏	〔一丂・GEk〕
云	〔二厶・EAie〕
互	〔二{互中}・ECue〕
亓	〔一丌・GHj〕
五	〔一{五下}・GDu〕
井	〔二{介下}・ETue〕
亘	〔二日・EKve〕
亚	〔丌䒑・HXuj〕
些	〔止匕二・LVEz〕
亟	〔了口又一・BOGl〕
亠	〔亠・Yu〕
亡	〔亠𠃊・YCu〕
亢	〔亠几・YQj〕
交	〔亠八乂・YTTi〕
亥	〔亥・Yh〕
亦	〔亦・Yi〕
产	〔立⼃・YPul〕
亨	〔亠口了・YOBl〕
亩	〔亠田・YKt〕
享	〔亠口子・YOBz〕
京	〔亠口小・YOCx〕
亭	〔亠口冖丁・YOQE〕
亮	〔亠口冖几・YOQQ〕
亲	〔立朩・YIul〕
亳	〔亠口冖㇒七・YOPF〕
亵	〔衣扌九丶・WFWy〕
人	〔人・Uu〕
亻	〔亻・Tv〕
亿	〔亻乙・TBi〕
什	〔亻十・TEu〕
仁	〔亻二・TEe〕
仂	〔亻力・TCl〕
仃	〔亻丁・TEd〕
仄	〔厂人・GUuc〕
仅	〔亻又・TDo〕
仆	〔亻卜・TLb〕
仇	〔亻九・TRj〕
仉	〔亻几・TQj〕
今	〔𠆢丶乛・UWBu〕
介	〔人{介下}・UTu〕
仍	〔亻乃・TAn〕
从	〔人人・UUu〕
仑	〔𠆢匕・UVi〕
仓	〔𠆢㔾・UBu〕
仔	〔亻子・TBz〕
仕	〔亻士・TJu〕
他	〔亻也・TBe〕
仗	〔亻𠂇乀・THWu〕
付	〔亻寸・TIc〕
仙	〔亻山・TMv〕
仝	〔𠆢工・UIg〕
仞	〔亻刀丶・TDWu〕
仟	〔亻千・TRq〕
仡	〔亻𠂉乙・TPBi〕
代	〔亻弋・TFi〕
令	〔𠆢丶龴・UWDu〕
以	〔厶人・AUui〕
仨	〔亻三・TIs〕
仪	〔亻丶乂・TWTi〕
仫	〔亻㇒厶・TPAi〕
们	〔亻门・TZm〕
仰	〔亻{卬左}卩・TVAe〕
仲	〔亻口丨・TOKu〕
仳	〔亻比・TVb〕
仵	〔亻𠂉十・TPEu〕
件	〔亻牛・TPn〕
价	〔亻人{介下}・TUTu〕
任	〔亻壬・TRr〕
份	〔亻八刀・TTDd〕
仿	〔亻方・TYu〕
企	〔𠆢止・ULz〕
伉	〔亻亠几・TYQj〕
伊	〔亻⺕丿・TBPu〕
伍	〔亻一{五下}・TGDu〕
伎	〔亻十又・TEDo〕
伏	〔亻犬・TJq〕
伐	〔亻戈・TFg〕
休	〔亻木・TIv〕
众	〔人人人・UUUu〕
优	〔亻尤・TJo〕
伙	〔亻火・TXv〕
会	〔人二厶・UEAi〕
伛	〔亻匚㐅・TFTi〕
伞	〔𠆢丷十・UXEu〕
伟	〔亻キ𠃌・TFBu〕
传	〔亻二㇉丶・TECW〕
伢	〔亻牙・TFy〕
伤	〔亻𠂉力・TPCl〕
伥	〔亻长・TPc〕
伦	〔亻𠆢匕・TUVi〕
伧	〔亻𠆢㔾・TUBu〕
伪	〔亻⺀力・TZCl〕
伫	〔亻宀一・TWGu〕
伯	〔亻白・TUb〕
估	〔亻古・TJg〕
伲	〔亻尸匕・TDVi〕
伴	〔亻丷キ・TXFu〕
伶	〔亻𠆢丶龴・TUWD〕
伸	〔亻申・TKs〕
伺	〔亻𠃌一口・TBGO〕
似	〔亻厶人・TAUu〕
伽	〔亻力口・TCOv〕
佃	〔亻田・TKt〕
但	〔亻日一・TKGu〕
位	〔亻立・TYl〕
低	〔亻{卬左}七丶・TVFW〕
住	〔亻丶王・TWEv〕
佐	〔亻𠂇工・THIg〕
佑	〔亻𠂇口・THOv〕
体	〔亻木一・TIGu〕
何	〔亻丁口・TEOv〕
佗	〔亻宀匕・TWVi〕
佘	〔𠆢示・UFs〕
余	〔𠆢一朩・UGIu〕
佚	〔亻㇒夫・TPJf〕
佛	〔亻弓{介下}・TDTu〕
作	〔亻𠂉{乍下}・TPLu〕
佝	〔亻勹口・TSOv〕
佞	〔亻二女・TECv〕
佟	〔亻夂⺀・TVZu〕
你	〔亻⺈小・TQCx〕
佣	〔亻用・TSy〕
佤	〔亻瓦・THw〕
佥	〔人二⺍・UEZu〕
佧	〔亻上卜・TLLb〕
佩	〔亻𠘨一巾・TQGM〕
佬	〔亻耂匕・TJVi〕
佯	〔亻羊・TXy〕
佰	〔亻丆日・TGKv〕
佳	〔亻土土・TJJv〕
佴	〔亻耳・THe〕
佶	〔亻士口・TJOv〕
佻	〔亻儿冫{飞右}・TVXT〕
佼	〔亻亠八乂・TYTT〕
