一	〔一・Gu・GB2312〕
丁	〔丁・Ed・GB2312〕
丂	〔丂・Ek・GBK〕
七	〔七・Fq・GB2312〕
丄	〔丄・Ou・GBK〕
丅	〔丅・Ju・GBK〕
丆	〔丆・Gu・GBK〕
万	〔丆𠃌・GBu・GB2312〕
丈	〔𠂇乀・HWu・GB2312〕
三	〔三・Is・GB2312〕
上	〔上・Ls・GB2312〕
下	〔丅丶・JWu・GB2312〕
丌	〔丌・Hj・GB2312〕
不	〔不・Gb・GB2312〕
与	〔丂一・EGuk・GB2312〕
丏	〔丅𠃊𠃌・JCBu・GBK〕
丐	〔丅一㇉・JGCu・GB2312〕
丑	〔コ十・DEu・GB2312〕
丒	〔刀丶一・DWGd・GBK〕
专	〔二㇉丶・ECWe・GB2312〕
且	〔且・Nq・GB2312〕
丕	〔不一・GGub・GB2312〕
世	〔世・Hs・GB2312〕
丗	〔卅一・HGu・GBK〕
丘	〔亻工・TIg・GB2312〕
丙	〔一冂人・GMUu・GB2312〕
业	〔〢䒑・LXu・GB2312〕
丛	〔人人一・UUGu・GB2312〕
东	〔七小・FCxq・GB2312〕
丝	〔{纟上}纟・CCj・GB2312〕
丞	〔乛水一・BAGu・GB2312〕
丟	〔王厶・EAi・GBK〕
丠	〔丬匕一・XVGu・GBK〕
両	〔一冂山・GMMv・GBK〕
丢	〔壬厶・RAir・GB2312〕
丣	〔丌匚コ・HFDj・GBK〕
两	〔一冂人人・GMUU・GB2312〕
严	〔丌䒑⼃・HXPj・GB2312〕
並	〔䒑〢䒑・XLXu・GBK〕
丧	〔十丷{畏下}・EXFu・GB2312〕
丨	〔丨・Ku・GB2312〕
丩	〔丩・Au・GBK〕
个	〔𠆢丨・UKu・GB2312〕
丫	〔丷丨・XKu・GB2312〕
丬	〔丬・Xu・GB2312〕
中	〔口丨・OKu・GB2312〕
丮	〔⺄キ・BFui・GBK〕
丯	〔彡丨・SKus・GBK〕
丰	〔丰・If・GB2312〕
丱	〔丱・Au・GBK〕
串	〔口口丨・OOKu・GB2312〕
丳	〔口口{介下}・OOTu・GBK〕
临	〔〢{⺮右}𫩏・LPKu・GB2312〕
丵	〔〢䒑䒑十・LXXE・GBK〕
丶	〔丶・Wu・GB2312〕
丷	〔丷・Xu・GBK〕
丸	〔九丶・RWuj・GB2312〕
丹	〔⺆亠・SYu・GB2312〕
为	〔⺀力・ZCl・GB2312〕
主	〔丶王・WEv・GB2312〕
丼	〔廾亠・HYu・GBK〕
丽	〔一冂⺀冂・GMZM・GB2312〕
举	〔⺍一八キ・ZGTF・GB2312〕
